"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","SX32","SX32_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-03-22","8.05",",,7",,,,,,,"0.00","T,,7,2400",,,"0.0",",,7,2400","0.0",",,7,2400",,,,,"50",",,7","31",",,7","41",",,7,2400",,,,,"  135",",,7",,,,,,,,,"23.0",",,7",,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-03-23","6.04",",,7",,,,,,,"0.10",",,7,2400",,,"0.0",",,7,2400","0.0",",,7,2400",,,,,"42",",,7","37",",,7","41",",,7,2400",,,,,"  112",",,7",,,,,,,,,"21.9",",,7",,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-03-24","4.92",",,7",,,,,,,"0.00",",,7,2400",,,"0.0",",,7,2400","0.0",",,7,2400",,,,,"52",",,7","41",",,7","46",",,7,2400",,,,,"  315",",,7",,,,,,,,,"23.0",",,7",,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-03-25","6.04",",,7",,,,,,,"0.39",",,7,2400",,,"0.0",",,7,2400","0.0",",,7,2400",,,,,"48",",,7","40",",,7","42",",,7,2400",,,,,"   22",",,7",,,,,,,,,"19.9",",,7",,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-03-26","6.93",",,7",,,,,,,"0.00",",,7,2400",,,"0.0",",,7,2400","0.0",",,7,2400",,,,,"60",",,7","40",",,7","52",",,7,2400",,,,,"  180",",,7",,,,,,,,,"23.9",",,7","    1",",,7",,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-03-27","2.91",",,7",,,,,,,"0.01",",,7,2400",,,"0.0",",,7,2400","0.0",",,7,2400",,,,,"66",",,7","47",",,7","59",",,7,2400",,,,,"   22",",,7",,,,,,,,,"15.0",",,7",,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-03-28","4.92",",,7",,,,,,,"0.59",",,7,2400",,,"0.0",",,7,2400","0.0",",,7,2400",,,,,"59",",,7","51",",,7","51",",,7,2400",,,,,"  180",",,7",,,,,,,,,"19.9",",,7",,,,,"    1",",,7",,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-03-29","4.03",",,7",,,,,,,"0.02",",,7,2400",,,"0.0",",,7,2400","0.0",",,7,2400",,,,,"63",",,7","47",",,7","47",",,7,2400",,,,,"  180",",,7",,,,,,,,,"19.0",",,7","    1",",,7",,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-03-30","10.07",",,7",,,,,,,"0.00",",,7,2400",,,"0.0",",,7,2400","0.0",",,7,2400",,,,,"69",",,7","40",",,7","50",",,7,2400",,,,,"  270",",,7",,,,,,,,,"33.1",",,7",,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-03-31","4.92",",,7",,,,,,,"0.16",",,7,2400",,,"0.0",",,7,2400","0.0",",,7,2400",,,,,"51",",,7","42",",,7","42",",,7,2400",,,,,"   90",",,7",,,,,,,,,"17.9",",,7",,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-04-01",,,,,,,,,"0.07",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"54",",,H","39",",,H","46",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-04-02",,,,,,,,,"0.00",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"61",",,H","35",",,H","50",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-04-03",,,,,,,,,"0.00",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"65",",,H","42",",,H","49",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-04-04",,,,,,,,,"0.00",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"59",",,H","46",",,H","50",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-04-05",,,,,,,,,"0.00",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"69",",,H","39",",,H","57",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-04-06",,,,,,,,,"0.00",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"67",",,H","46",",,H","46",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-04-07",,,,,,,,,"0.06",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"65",",,H","46",",,H","57",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-04-08",,,,,,,,,"0.20",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"74",",,H","51",",,H","51",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-04-09",,,,,,,,,"0.37",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"65",",,H","43",",,H","44",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-04-10",,,,,,,,,"0.00",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"48",",,H","38",",,H","39",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-04-11",,,,,,,,,"0.00",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"60",",,H","36",",,H","41",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-04-12",,,,,,,,,"0.35",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"68",",,H","33",",,H","57",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-04-13",,,,,,,,,"1.03",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"73",",,H","49",",,H","49",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-04-14",,,,,,,,,"0.24",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"53",",,H","33",",,H","35",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-04-15",,,,,,,,,"0.01",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"53",",,H","32",",,H","39",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-04-16",,,,,,,,,"0.00",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"50",",,H","32",",,H","32",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-04-17",,,,,,,,,"0.08",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"56",",,H","28",",,H","46",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-04-18",,,,,,,,,"0.16",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"54",",,H","37",",,H","37",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-04-19",,,,,,,,,"0.00",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"62",",,H","30",",,H","51",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-04-20",,,,,,,,,"0.00",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"63",",,H","43",",,H","43",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-04-21",,,,,,,,,"0.04",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"61",",,H","38",",,H","40",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-04-22",,,,,,,,,"0.00",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"57",",,H","34",",,H","47",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-04-23",,,,,,,,,"0.10",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"59",",,H","39",",,H","51",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-04-24",,,,,,,,,"0.28",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"56",",,H","48",",,H","48",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-04-25",,,,,,,,,"0.02",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"65",",,H","43",",,H","51",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-04-26",,,,,,,,,"0.58",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"51",",,H","43",",,H","43",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-04-27",,,,,,,,,"0.05",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"58",",,H","40",",,H","42",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-04-28",,,,,,,,,"0.06",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"55",",,H","37",",,H","49",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-04-29",,,,,,,,,"0.01",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"73",",,H","40",",,H","61",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-04-30",,,,,,,,,"1.67",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"64",",,H","53",",,H","53",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-05-01",,,,,,,,,"0.00",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"64",",,H","48",",,H","53",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-05-02",,,,,,,,,"0.00",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"71",",,H","44",",,H","62",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-05-03",,,,,,,,,"0.32",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"76",",,H","57",",,H","62",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-05-04",,,,,,,,,"0.01",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"69",",,H","50",",,H","50",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-05-05",,,,,,,,,"0.04",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"55",",,H","42",",,H","47",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-05-06",,,,,,,,,"0.35",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"53",",,H","42",",,H","42",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-05-07",,,,,,,,,"0.00",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"67",",,H","34",",,H","57",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-05-08",,,,,,,,,"0.63",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"57",",,H","38",",,H","38",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-05-09",,,,,,,,,"0.00",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"47",",,H","32",",,H","34",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-05-10",,,,,,,,,"0.00",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"65",",,H","31",",,H","50",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-05-11",,,,,,,,,"0.00",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"57",",,H","44",",,H","45",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-05-12",,,,,,,,,"0.00",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"61",",,H","42",",,H","48",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-05-13",,,,,,,,,"0.00",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"69",",,H","37",",,H","45",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-05-14",,,,,,,,,"0.00",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"71",",,H","40",",,H","64",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-05-15",,,,,,,,,"0.00",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"87",",,H","62",",,H","75",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-05-16",,,,,,,,,"0.00",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"79",",,H","61",",,H","61",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-05-17",,,,,,,,,"0.08",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"65",",,H","58",",,H","59",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-05-18",,,,,,,,,"0.00",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"70",",,H","57",",,H","63",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-05-19",,,,,,,,,"0.00",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"70",",,H","56",",,H","56",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-05-20",,,,,,,,,"0.00",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"65",",,H","51",",,H","53",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-05-21",,,,,,,,,"0.00",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"72",",,H","47",",,H","64",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-05-22",,,,,,,,,"0.49",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"66",",,H","60",",,H","62",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-05-23",,,,,,,,,"0.02",",,H,2400",,,"0.0",",,H,2400","0.0",",,H,2400",,,,,"82",",,H","61",",,H","68",",,H,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
